Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
LF_Gyr_Z_rms,LF,Gyr,Z_rms,1.181951,0.501789,0.029719,2.899867,1.134982,1.476044,0.530517,1.446383,372,1.139087,0.468761,1.084059,1486,1.018712,0.482629,1.010294,280
LF_Gyr_Z_dom_freq,LF,Gyr,Z_dom_freq,1.735729,0.697691,0.166667,7.166667,1.666667,1.761841,0.612821,1.833333,373,1.728523,0.736743,1.666667,1490,1.739286,0.581718,1.666667,280
LF_Gyr_Z_spec_centroid,LF,Gyr,Z_spec_centroid,5.740044,1.324916,2.549290,11.816442,5.534465,5.768789,1.233504,5.628233,372,5.773152,1.349918,5.561697,1486,5.526144,1.292350,5.324538,280
LF_Gyr_Z_spec_power,LF,Gyr,Z_spec_power,986.995523,822.971892,0.070472,5062.025287,771.137444,1469.909682,1031.063411,1215.519989,372,908.856874,725.835400,703.772207,1486,760.102547,758.117361,612.080445,280
RF_Acc_X_mean,RF,Acc,X_mean,8.385107,2.012000,1.268775,17.914680,8.273622,9.900117,1.839060,9.780591,373,8.118405,1.962176,8.080546,1488,7.784226,1.486678,7.742933,280
RF_Acc_X_std,RF,Acc,X_std,4.809762,1.962674,0.040436,10.458969,4.578798,7.099791,1.649465,7.106110,373,4.175138,1.597230,4.177203,1488,5.131692,1.748935,4.910433,280
RF_Acc_X_rms,RF,Acc,X_rms,9.777708,2.395719,2.323257,19.061305,9.481803,12.273038,1.972008,12.353333,373,9.224459,2.156326,9.026131,1488,9.393699,1.987747,9.097517,280
RF_Acc_X_dom_freq,RF,Acc,X_dom_freq,1.288536,0.789898,0.166667,9.833333,0.833333,1.415996,0.788169,1.000000,373,1.230984,0.758002,0.833333,1490,1.425000,0.915120,0.833333,280
RF_Acc_X_spec_centroid,RF,Acc,X_spec_centroid,5.391293,1.574920,2.607580,10.852431,5.384419,6.055237,1.399918,6.168397,373,5.008185,1.530591,4.714473,1488,6.542776,1.105993,6.326866,280
RF_Acc_X_spec_power,RF,Acc,X_spec_power,16244.590352,12500.389866,0.984325,65853.526604,12621.302756,31978.846275,13765.648110,30399.306752,373,12028.803647,8565.836267,10504.427261,1488,17688.208767,11268.315261,14516.032082,280
RF_Acc_Y_mean,RF,Acc,Y_mean,0.406248,2.417892,-8.726828,9.801649,0.462156,-0.335556,3.299152,-1.051478,373,0.829288,2.139714,0.861557,1488,-0.853724,1.626139,-1.266390,280
RF_Acc_Y_std,RF,Acc,Y_std,2.457286,1.191517,0.036252,6.493236,2.216853,3.664261,1.169656,3.532059,373,2.088110,0.979241,1.898545,1488,2.811328,1.074417,2.735242,280
RF_Acc_Y_rms,RF,Acc,Y_rms,3.335216,1.530763,0.622904,10.525593,3.111152,4.788598,1.684039,4.641354,373,2.968252,1.331225,2.698737,1488,3.349255,1.097421,3.228796,280
RF_Acc_Y_dom_freq,RF,Acc,Y_dom_freq,1.450848,1.108374,0.166667,11.666667,1.000000,1.458892,1.290859,1.000000,373,1.395749,0.926512,1.000000,1490,1.733333,1.591282,1.333333,280
RF_Acc_Y_spec_centroid,RF,Acc,Y_spec_centroid,5.989461,1.667687,2.738894,11.632352,5.957070,6.957998,1.597617,7.101827,373,5.474607,1.501895,5.155297,1488,7.435312,1.068217,7.352172,280
RF_Acc_Y_spec_power,RF,Acc,Y_spec_power,4489.339679,4370.253009,0.791171,25381.662286,2958.524173,8904.411904,5304.031887,7510.297946,373,3201.750396,3211.709094,2169.911636,1488,5450.450086,4263.615778,4503.944817,280
RF_Acc_Z_mean,RF,Acc,Z_mean,7.768931,1.220240,1.396680,11.933974,7.824638,8.474100,1.346609,8.702177,373,7.496209,1.133598,7.491802,1488,8.278868,0.911961,8.238713,280
RF_Acc_Z_std,RF,Acc,Z_std,3.732646,1.655219,0.024333,9.632963,3.450284,5.333471,1.555494,5.384427,373,3.330779,1.480984,3.147939,1488,3.735760,1.345848,3.479765,280
RF_Acc_Z_rms,RF,Acc,Z_rms,8.755731,1.361521,5.327748,12.677153,8.669906,10.123610,1.412703,10.285953,373,8.334126,1.143011,8.366010,1488,9.174049,0.984566,9.057643,280
RF_Acc_Z_dom_freq,RF,Acc,Z_dom_freq,1.817934,1.263519,0.166667,7.833333,1.166667,2.835121,1.535082,3.500000,373,1.448993,0.939980,1.000000,1490,2.426190,1.384872,2.000000,280
RF_Acc_Z_spec_centroid,RF,Acc,Z_spec_centroid,5.417315,1.495545,2.438898,11.698715,5.275479,6.083902,1.356970,6.073951,373,5.050623,1.457569,4.654602,1488,6.478026,0.968054,6.254841,280
RF_Acc_Z_spec_power,RF,Acc,Z_spec_power,10036.115157,8783.356074,0.356435,55862.590253,7166.563057,18577.298469,10044.972273,17453.410258,373,7998.207348,7471.860598,5965.578370,1488,9488.063171,6298.375286,7289.602563,280
RF_FreeAcc_X_mean,RF,FreeAcc,X_mean,2.436254,1.466552,-3.423620,6.572140,2.289826,4.032860,1.140542,4.187940,373,2.082566,1.325365,2.081902,1488,2.188947,1.124177,2.092995,280
RF_FreeAcc_X_std,RF,FreeAcc,X_std,4.809762,1.962674,0.040436,10.458969,4.578798,7.099791,1.649465,7.106110,373,4.175138,1.597230,4.177203,1488,5.131692,1.748935,4.910433,280
RF_FreeAcc_X_rms,RF,FreeAcc,X_rms,5.451695,2.313165,0.047153,12.001293,5.123621,8.188608,1.907412,8.372573,373,4.735845,1.909953,4.699389,1488,5.609962,1.993838,5.459052,280
RF_FreeAcc_X_dom_freq,RF,FreeAcc,X_dom_freq,1.288536,0.789898,0.166667,9.833333,0.833333,1.415996,0.788169,1.000000,373,1.230984,0.758002,0.833333,1490,1.425000,0.915120,0.833333,280
RF_FreeAcc_X_spec_centroid,RF,FreeAcc,X_spec_centroid,5.391293,1.574920,2.607580,10.852431,5.384419,6.055237,1.399918,6.168397,373,5.008185,1.530591,4.714473,1488,6.542776,1.105993,6.326866,280
RF_FreeAcc_X_spec_power,RF,FreeAcc,X_spec_power,16244.590352,12500.389866,0.984325,65853.526604,12621.302756,31978.846275,13765.648110,30399.306752,373,12028.803647,8565.836267,10504.427261,1488,17688.208767,11268.315261,14516.032082,280
RF_FreeAcc_Y_mean,RF,FreeAcc,Y_mean,0.128960,0.590835,-2.362993,2.844273,0.090492,0.063097,0.748796,-0.006937,373,0.141396,0.574520,0.088527,1488,0.150611,0.404575,0.163850,280
RF_FreeAcc_Y_std,RF,FreeAcc,Y_std,2.457286,1.191517,0.036252,6.493236,2.216853,3.664261,1.169656,3.532059,373,2.088110,0.979241,1.898545,1488,2.811328,1.074417,2.735242,280
RF_FreeAcc_Y_rms,RF,FreeAcc,Y_rms,2.534196,1.183792,0.048801,6.538208,2.319702,3.746164,1.150746,3.670012,373,2.171527,0.976435,2.004482,1488,2.847004,1.066877,2.777423,280
RF_FreeAcc_Y_dom_freq,RF,FreeAcc,Y_dom_freq,1.450848,1.108374,0.166667,11.666667,1.000000,1.458892,1.290859,1.000000,373,1.395749,0.926512,1.000000,1490,1.733333,1.591282,1.333333,280
RF_FreeAcc_Y_spec_centroid,RF,FreeAcc,Y_spec_centroid,5.989461,1.667687,2.738894,11.632352,5.957070,6.957998,1.597617,7.101827,373,5.474607,1.501895,5.155297,1488,7.435312,1.068217,7.352172,280
RF_FreeAcc_Y_spec_power,RF,FreeAcc,Y_spec_power,4489.339679,4370.253009,0.791171,25381.662286,2958.524173,8904.411904,5304.031887,7510.297946,373,3201.750396,3211.709094,2169.911636,1488,5450.450086,4263.615778,4503.944817,280
RF_FreeAcc_Z_mean,RF,FreeAcc,Z_mean,-0.121251,0.543568,-2.194455,2.340621,-0.139157,0.187501,0.651686,0.276515,373,-0.225925,0.494623,-0.259421,1488,0.023714,0.434899,-0.054510,280
