Feature,d_healthy_vs_neuro,d_healthy_vs_neuro_interp,d_healthy_vs_ortho,d_healthy_vs_ortho_interp,d_neuro_vs_ortho,d_neuro_vs_ortho_interp
LF_Gyr_X_spec_centroid,0.134152,Negligible,0.202915,Small,0.060420,Negligible
LF_Gyr_X_spec_power,0.616958,Medium,1.010838,Large,0.252844,Small
LF_Gyr_Y_mean,-0.152471,Negligible,0.000754,Negligible,0.160979,Negligible
LF_Gyr_Y_std,1.333214,Large,1.463927,Large,-0.065668,Negligible
LF_Gyr_Y_rms,1.332649,Large,1.464240,Large,-0.064957,Negligible
LF_Gyr_Y_dom_freq,0.119826,Negligible,0.344363,Small,0.141744,Negligible
LF_Gyr_Y_spec_centroid,-0.091304,Negligible,0.111323,Negligible,0.194364,Negligible
LF_Gyr_Y_spec_power,1.485693,Large,1.469394,Large,-0.046652,Negligible
LF_Gyr_Z_mean,-0.160369,Negligible,0.294205,Small,0.553501,Medium
LF_Gyr_Z_std,0.613739,Medium,0.937092,Large,0.348538,Small
LF_Gyr_Z_rms,0.619104,Medium,0.941420,Large,0.347169,Small
LF_Gyr_Z_dom_freq,0.037210,Negligible,0.033492,Negligible,-0.007680,Negligible
LF_Gyr_Z_spec_centroid,-0.036678,Negligible,0.124551,Negligible,0.153755,Negligible
LF_Gyr_Z_spec_power,0.615323,Medium,0.822619,Large,0.300801,Small
RF_Acc_X_mean,0.826636,Large,1.246916,Large,0.258614,Small
RF_Acc_X_std,1.709148,Large,1.178191,Large,-0.491982,Small
RF_Acc_X_rms,1.323541,Large,1.474132,Large,0.025546,Negligible
RF_Acc_X_dom_freq,0.147373,Negligible,-0.104046,Negligible,-0.254344,Small
RF_Acc_X_spec_centroid,0.640836,Medium,-0.400270,Small,-0.994636,Large
RF_Acc_X_spec_power,1.923402,Large,1.115168,Large,-0.518969,Medium
RF_Acc_Y_mean,-0.430554,Small,0.210385,Small,0.767721,Medium
RF_Acc_Y_std,1.448218,Large,0.732401,Medium,-0.668699,Medium
RF_Acc_Y_rms,1.232120,Large,0.992218,Large,-0.232065,Small
RF_Acc_Y_dom_freq,0.067417,Negligible,-0.222514,Small,-0.378988,Small
RF_Acc_Y_spec_centroid,0.923182,Large,-0.396279,Small,-1.345126,Large
RF_Acc_Y_spec_power,1.424458,Large,0.676371,Medium,-0.597580,Medium
RF_Acc_Z_mean,0.734249,Medium,0.059920,Negligible,-0.723496,Medium
RF_Acc_Z_std,1.214263,Large,1.067642,Large,-0.195839,Negligible
RF_Acc_Z_rms,1.325502,Large,0.625114,Medium,-0.727080,Medium
RF_Acc_Z_dom_freq,1.160945,Large,0.227959,Small,-0.889712,Large
RF_Acc_Z_spec_centroid,0.678843,Medium,-0.359121,Small,-1.004090,Large
RF_Acc_Z_spec_power,1.168843,Large,1.011995,Large,-0.124043,Negligible
RF_FreeAcc_X_mean,1.394152,Large,1.659326,Large,0.017007,Negligible
RF_FreeAcc_X_std,1.709148,Large,1.178191,Large,-0.491982,Small
RF_FreeAcc_X_rms,1.695480,Large,1.346742,Large,-0.354928,Small
RF_FreeAcc_X_dom_freq,0.147373,Negligible,-0.104046,Negligible,-0.254344,Small
RF_FreeAcc_X_spec_centroid,0.640836,Medium,-0.400270,Small,-0.994636,Large
RF_FreeAcc_X_spec_power,1.923402,Large,1.115168,Large,-0.518969,Medium
RF_FreeAcc_Y_mean,-0.048770,Negligible,-0.095704,Negligible,-0.052586,Negligible
RF_FreeAcc_Y_std,1.448218,Large,0.732401,Medium,-0.668699,Medium
RF_FreeAcc_Y_rms,1.457247,Large,0.784868,Medium,-0.623973,Medium
RF_FreeAcc_Y_dom_freq,0.067417,Negligible,-0.222514,Small,-0.378988,Small
RF_FreeAcc_Y_spec_centroid,0.923182,Large,-0.396279,Small,-1.345126,Large
RF_FreeAcc_Y_spec_power,1.424458,Large,0.676371,Medium,-0.597580,Medium
RF_FreeAcc_Z_mean,0.619104,Medium,0.153474,Negligible,-0.495356,Small
RF_FreeAcc_Z_std,1.214263,Large,1.067642,Large,-0.195839,Negligible
RF_FreeAcc_Z_rms,1.217400,Large,1.083607,Large,-0.176887,Negligible
RF_FreeAcc_Z_dom_freq,1.160945,Large,0.227959,Small,-0.889712,Large
RF_FreeAcc_Z_spec_centroid,0.678843,Medium,-0.359121,Small,-1.004090,Large
RF_FreeAcc_Z_spec_power,1.168843,Large,1.011995,Large,-0.124043,Negligible
RF_Gyr_X_mean,-0.734825,Medium,0.238571,Small,1.161707,Large
RF_Gyr_X_std,0.961787,Large,0.651212,Medium,-0.270871,Small
RF_Gyr_X_rms,0.975206,Large,0.656600,Medium,-0.278186,Small
